frame,xpx,ypx,xcm,ycm
64,988,437,2.3636363636363638,-0.6481481481481488
65,982,438,1.8181818181818181,-0.6481481481481488
66,965,440,0.2702702702702703,-0.8333333333333339
67,950,441,-0.6896551724137936,-0.8333333333333339
68,943,441,-1.2931034482758612,-0.8333333333333339
69,943,440,-1.2931034482758612,-0.7407407407407405
70,947,437,-0.9482758620689662,-0.4629629629629637
71,947,435,-0.9482758620689662,-0.27777777777777857
72,945,431,-1.1206896551724146,0
73,941,429,-1.4655172413793096,0
74,940,427,-1.5517241379310338,0.2
75,942,426,-1.3793103448275854,0.20202020202020202
76,943,423,-1.2173913043478262,0.5050505050505051
77,943,421,-1.2173913043478262,0.7070707070707071
78,946,420,-0.9565217391304355,0.8080808080808081
79,953,418,-0.3478260869565215,1.0
80,957,416,0,1.1111111111111112
81,960,415,0,1.2121212121212122
82,963,412,0.18181818181818182,1.5151515151515151
83,966,411,0.45454545454545453,1.6161616161616161
84,970,410,0.8181818181818182,1.7171717171717171
85,973,409,1.0909090909090908,1.8181818181818181
86,974,409,1.1818181818181819,1.8181818181818181
87,974,410,1.1818181818181819,1.7171717171717171
88,973,411,1.0909090909090908,1.6161616161616161
89,968,413,0.6363636363636364,1.4141414141414141
90,957,413,0,1.4141414141414141
91,938,413,-1.637931034482758,1.6
92,921,414,-3.1034482758620694,1.6
93,911,413,-3.9655172413793105,1.8
94,910,411,-4.051724137931035,2.0
95,917,408,-3.4482758620689653,2.2
96,927,404,-2.5217391304347823,2.525252525252525
97,937,399,-1.6521739130434785,3.0
98,950,395,-0.5217391304347831,3.3333333333333335
99,963,391,0.27522935779816515,3.6363636363636362
100,972,387,1.1818181818181819,4.040404040404041
101,980,385,1.9090909090909092,4.2
102,987,382,2.5454545454545454,4.444444444444445
103,991,381,2.909090909090909,4.545454545454546
104,991,379,2.909090909090909,4.747474747474747
105,989,378,2.727272727272727,4.848484848484849
106,991,377,2.909090909090909,4.94949494949495
107,1001,375,3.853211009174312,5.151515151515151
108,1010,375,4.678899082568807,5.1
109,1020,373,5.5963302752293576,5.3
110,1029,371,6.454545454545454,5.5
111,1040,371,7.454545454545454,5.4
112,1046,371,8.0,5.4
113,1042,371,7.636363636363637,5.4
114,1040,372,7.454545454545454,5.3
115,1053,371,8.636363636363637,5.4
116,1073,370,10.089285714285714,5.445544554455446
117,1092,369,11.785714285714286,5.5
118,1100,367,12.5,5.7
119,1100,368,12.5,5.6
120,1103,368,12.767857142857142,5.6
121,1105,368,12.946428571428571,5.544554455445544
122,1102,367,12.678571428571429,5.7
123,1091,367,11.696428571428571,5.7
124,1082,368,10.892857142857142,5.6
125,1080,369,10.714285714285714,5.544554455445544
126,1077,370,10.446428571428571,5.445544554455446
127,1073,371,10.089285714285714,5.346534653465347
128,1069,373,10,5.2
129,1062,375,9.44954128440367,5.0
130,1053,377,8.545454545454545,4.8
131,1039,379,7.2727272727272725,4.646464646464646
132,1021,380,5.636363636363637,4.6
133,1003,383,4.0,4.343434343434343
134,990,385,2.8181818181818183,4.141414141414141
135,981,388,2.0,3.9
136,974,390,1.3636363636363635,3.7373737373737375
137,964,392,0.36363636363636365,3.5353535353535355
138,954,393,-0.17391304347826164,3.5
139,942,394,-1.2173913043478262,3.4343434343434343
140,936,395,-1.7391304347826093,3.4
141,937,395,-1.6521739130434785,3.4
142,941,395,-1.304347826086957,3.3333333333333335
143,945,395,-0.9565217391304355,3.3333333333333335
144,950,395,-0.5217391304347831,3.3333333333333335
145,960,393,0,3.4343434343434343
146,975,392,1.3636363636363635,3.5353535353535355
147,990,390,2.8181818181818183,3.6363636363636362
148,997,389,3.4545454545454546,3.7373737373737375
149,995,389,3.272727272727273,3.7373737373737375
150,995,389,3.272727272727273,3.7373737373737375
151,1003,389,4.0,3.7373737373737375
152,1012,390,4.818181818181818,3.6
153,1021,390,5.636363636363637,3.6
154,1027,391,6.146788990825688,3.5
155,1030,393,6.363636363636363,3.3
156,1026,395,6.0,3.1
157,1013,399,4.818181818181818,2.7
158,994,405,3.090909090909091,2.121212121212121
159,978,411,1.5454545454545454,1.6
160,961,417,0,1.0101010101010102
161,949,420,-0.695652173913043,0.8080808080808081
162,945,421,-1.0434782608695645,0.7070707070707071
163,953,420,-0.3478260869565215,0.8
164,970,418,0.8181818181818182,0.9090909090909091
165,991,414,2.727272727272727,1.2121212121212122
166,1014,411,4.818181818181818,1.5
167,1034,410,6.636363636363637,1.5151515151515151
168,1048,409,7.909090909090909,1.6
169,1052,410,8.272727272727273,1.5
170,1044,412,7.545454545454546,1.3
171,1028,413,6.090909090909091,1.3
172,1010,415,4.454545454545454,1.1
173,997,417,3.272727272727273,0.9090909090909091
174,990,421,2.6363636363636362,0.5050505050505051
175,989,424,2.5225225225225225,0.20202020202020202
176,989,426,2.4545454545454546,0
177,989,427,2.4545454545454546,0
178,988,429,2.3636363636363638,0
179,989,431,2.4545454545454546,-0.09259259259259345
180,994,433,2.909090909090909,-0.27777777777777857
181,1004,435,3.8181818181818183,-0.4629629629629637
182,1015,436,4.818181818181818,-0.5607476635514015
183,1022,437,5.454545454545454,-0.6542056074766354
184,1028,438,6.0,-0.7476635514018692
185,1039,439,6.936936936936937,-0.934579439252337
186,1053,438,8.272727272727273,-0.8411214953271031
187,1060,435,8.909090909090908,-0.5607476635514015
188,1052,432,8.181818181818182,-0.28037383177570163
189,1034,430,6.545454545454546,-0.09259259259259345
190,1018,430,5.090909090909091,0
191,1006,433,4.0,-0.27777777777777857
192,998,435,3.272727272727273,-0.4629629629629637
193,988,438,2.3636363636363638,-0.7407407407407405
194,970,442,0.7207207207207207,-1.018518518518519
195,960,445,0,-1.284403669724771
196,960,446,0,-1.376146788990825
197,967,445,0.45045045045045046,-1.2962962962962958
198,969,445,0.6306306306306306,-1.2962962962962958
199,971,445,0.8108108108108109,-1.2962962962962958
200,976,444,1.2612612612612613,-1.2037037037037042
201,982,444,1.8018018018018018,-1.2037037037037042
202,987,444,2.2522522522522523,-1.2962962962962958
203,986,445,2.1621621621621623,-1.3888888888888893
204,984,446,1.981981981981982,-1.3888888888888893
205,977,448,1.3513513513513513,-1.5740740740740744
206,977,448,1.3513513513513513,-1.5740740740740744
207,988,447,2.3423423423423424,-1.5740740740740744
208,993,447,2.7927927927927927,-1.5740740740740744
209,989,447,2.4324324324324325,-1.5740740740740744
210,984,447,1.981981981981982,-1.481481481481481
211,983,448,1.8918918918918919,-1.5740740740740744
212,987,448,2.2522522522522523,-1.666666666666666
213,992,448,2.7027027027027026,-1.666666666666666
214,990,448,2.5225225225225225,-1.666666666666666
215,982,448,1.8018018018018018,-1.5740740740740744
216,973,449,0.990990990990991,-1.666666666666666
217,968,451,0.5405405405405406,-1.8518518518518512
218,967,451,0.45045045045045046,-1.8518518518518512
219,965,451,0.2702702702702703,-1.8518518518518512
220,963,450,0.09009009009009009,-1.7592592592592595
221,964,449,0.18018018018018017,-1.666666666666666
222,965,449,0.2702702702702703,-1.666666666666666
223,966,448,0.36036036036036034,-1.5740740740740744
224,963,448,0.09009009009009009,-1.5740740740740744
225,954,447,-0.3478260869565215,-1.3888888888888893
226,943,446,-1.304347826086957,-1.2962962962962958
227,933,446,-2.1739130434782608,-1.2037037037037042
228,923,446,-3.0434782608695654,-1.121495327102803
229,916,445,-3.6521739130434785,-1.0280373831775709
230,913,445,-3.913043478260869,-1.018518518518519
231,911,444,-4.086956521739131,-0.8411214953271031
232,912,443,-4.0,-0.8333333333333339
233,914,443,-3.8260869565217392,-0.8333333333333339
234,917,442,-3.5344827586206895,-0.7476635514018692
235,923,442,-3.017241379310345,-0.7476635514018692
236,930,442,-2.413793103448276,-0.8333333333333339
237,939,442,-1.637931034482758,-0.8411214953271031
238,949,442,-0.7758620689655178,-0.9259259259259256
239,956,442,-0.1724137931034484,-1.0091743119266052
240,956,443,-0.17391304347826164,-1.100917431192661
241,954,444,-0.3478260869565215,-1.1111111111111107
242,954,445,-0.3478260869565215,-1.2037037037037042
243,954,447,-0.3478260869565215,-1.3888888888888893
244,955,447,-0.2608695652173907,-1.4678899082568808
245,959,446,0,-1.376146788990825
246,964,445,0.18018018018018017,-1.2962962962962958
247,969,443,0.6306306306306306,-1.1111111111111107
248,975,440,1.1711711711711712,-0.8333333333333339
249,980,437,1.6363636363636365,-0.5555555555555554
250,980,434,1.6363636363636365,-0.27777777777777857
251,972,433,0.9090909090909091,-0.18518518518518512
252,964,433,0.18181818181818182,-0.18518518518518512
253,958,433,0,-0.18348623853210988
254,947,432,-0.9482758620689662,0
255,938,430,-1.7241379310344822,0
256,932,429,-2.2413793103448274,0
257,930,426,-2.413793103448276,0.30303030303030304
258,928,425,-2.5217391304347823,0.40404040404040403
259,925,424,-2.782608695652174,0.6
260,921,423,-3.1304347826086953,0.7
261,914,423,-3.7391304347826084,0.7070707070707071
262,909,423,-4.173913043478261,0.8
263,905,424,-4.521739130434782,0.7
264,900,425,-4.956521739130435,0.6
265,892,426,-5.689655172413793,0.6
266,886,427,-6.206896551724138,0.5
267,881,427,-6.637931034482758,0.6
268,876,426,-7.068965517241379,0.7
269,871,425,-7.478260869565217,0.8
270,868,425,-7.739130434782609,0.8
271,880,422,-6.695652173913043,1.1
272,903,419,-4.695652173913044,1.2
273,927,415,-2.586206896551724,1.4141414141414141
274,951,413,-0.5172413793103452,1.5
275,971,409,0.9090909090909091,1.8181818181818181
276,988,403,2.5454545454545454,2.323232323232323
277,997,398,3.3636363636363638,2.8282828282828283
278,1004,394,4.0,3.2323232323232323
279,1011,391,4.678899082568807,3.5
280,1017,389,5.2727272727272725,3.7
281,1019,387,5.454545454545454,3.9
282,1019,384,5.454545454545454,4.2
283,1023,382,5.818181818181818,4.4
284,1025,381,6.0,4.5
285,1021,380,5.636363636363637,4.6
286,1016,379,5.181818181818182,4.7
287,1014,377,5.0,4.9
288,1012,377,4.818181818181818,4.9
289,1009,376,4.587155963302752,5.0
290,1007,377,4.363636363636363,4.94949494949495
291,1006,378,4.2727272727272725,4.848484848484849
292,1005,378,4.181818181818182,4.848484848484849
293,993,379,3.090909090909091,4.747474747474747
294,986,379,2.4545454545454546,4.747474747474747
295,985,381,2.3636363636363638,4.6
296,981,383,2.0,4.4
297,969,384,0.9090909090909091,4.343434343434343
298,958,386,0,4.141414141414141
299,951,386,-0.3478260869565215,4.2
300,950,387,-0.43478260869565233,4.141414141414141
301,948,387,-0.6086956521739122,4.141414141414141
302,942,387,-1.1304347826086953,4.141414141414141
303,936,387,-1.6521739130434785,4.2
304,932,388,-2.0,4.141414141414141
305,930,389,-2.1739130434782608,4.040404040404041
306,929,390,-2.280701754385965,3.9393939393939394
307,933,391,-2.0,3.8383838383838382
308,947,391,-0.7826086956521738,3.7373737373737375
309,964,391,0.3669724770642202,3.6363636363636362
310,980,389,1.9090909090909092,3.8
311,990,387,2.8181818181818183,3.9393939393939394
312,989,387,2.727272727272727,3.9393939393939394
313,988,387,2.6363636363636362,3.9393939393939394
314,990,388,2.8181818181818183,3.8383838383838382
315,993,389,3.090909090909091,3.7373737373737375
316,995,391,3.2110091743119265,3.5353535353535355
317,998,393,3.4545454545454546,3.3333333333333335
318,999,395,3.5454545454545454,3.1313131313131315
319,1001,396,3.727272727272727,3.0303030303030303
320,1005,398,4.090909090909091,2.8282828282828283
321,1010,400,4.545454545454546,2.6
322,1015,402,5.0,2.4
323,1016,404,5.090909090909091,2.2
324,1015,406,5.0,2.0
325,1015,409,4.909090909090909,1.7
326,1011,411,4.545454545454546,1.5
327,1006,410,4.090909090909091,1.6161616161616161
328,1002,411,3.727272727272727,1.5151515151515151
329,1001,411,3.6363636363636362,1.5151515151515151
330,1001,412,3.6363636363636362,1.4141414141414141
331,999,413,3.4545454545454546,1.3131313131313131
332,996,415,3.1818181818181817,1.1111111111111112
