frame,xpx,ypx,xcm,ycm
73,924,408,-2.844827586206897,2.2
74,929,406,-2.3478260869565215,2.323232323232323
75,933,403,-2.0,2.6262626262626263
76,936,399,-1.7391304347826093,3.0
77,939,400,-1.4782608695652169,2.9
78,946,412,-0.9482758620689662,1.6161616161616161
79,956,432,-0.1724137931034484,-0.09174311926605583
80,948,438,-0.862068965517242,-0.5555555555555554
81,927,437,-2.6724137931034484,-0.37037037037037024
82,916,452,-3.6521739130434785,-1.6822429906542062
83,909,468,-4.310344827586207,-3.08411214953271
84,898,472,-5.304347826086956,-3.4579439252336446
85,891,478,-5.913043478260869,-3.925233644859813
86,880,478,-6.869565217391305,-3.867924528301887
87,870,470,-7.739130434782609,-3.08411214953271
88,867,467,-7.931034482758621,-2.735849056603773
89,864,463,-8.189655172413794,-2.3584905660377355
90,857,450,-8.782608695652174,-1.121495327102803
91,857,439,-8.706896551724139,-0.09345794392523388
92,863,435,-8.189655172413794,0
93,873,433,-7.327586206896552,0
94,877,427,-6.982758620689655,0.6
95,877,418,-6.956521739130435,1.5
96,875,411,-7.068965517241379,2.2
97,873,408,-7.241379310344827,2.5
98,879,421,-6.782608695652174,1.2
99,882,429,-6.551724137931035,0.4
100,884,431,-6.379310344827586,0.1
101,877,436,-6.982758620689655,0
102,874,447,-7.304347826086957,-0.9433962264150946
103,880,457,-6.782608695652174,-1.8867924528301891
104,868,448,-7.826086956521739,-1.0280373831775709
105,844,424,-9.826086956521738,1.1
106,830,401,-10.60344827586207,3.5
107,837,392,-10,4.356435643564357
108,857,400,-8.608695652173914,3.4
109,880,403,-6.608695652173913,3.0
110,889,392,-5.826086956521739,4.0
111,895,379,-5.217391304347826,5.3
112,901,365,-4.649122807017544,6.6
113,910,357,-3.8260869565217392,7.4
114,924,360,-2.608695652173913,7.0
115,947,378,-0.695652173913043,5.05050505050505
116,977,411,1.4545454545454546,1.6
117,990,434,2.5454545454545454,-0.37037037037037024
118,971,433,0.8181818181818182,-0.18518518518518512
119,972,420,1.0,0.7070707070707071
120,991,434,2.6363636363636362,-0.37037037037037024
121,1010,452,4.324324324324325,-2.05607476635514
122,1015,443,4.774774774774775,-1.2149532710280369
123,1029,440,6.036036036036036,-0.934579439252337
124,1042,435,7.2727272727272725,-0.5607476635514015
125,1038,421,7.0,0.40404040404040403
126,1030,409,6.2727272727272725,1.7
127,1021,405,5.545454545454546,2.1
128,1014,406,4.909090909090909,2.0
129,1016,413,5.0,1.3
130,1016,421,5.0,0.5
131,1004,412,3.909090909090909,1.4141414141414141
132,987,403,2.4545454545454546,2.323232323232323
133,979,409,1.6363636363636365,1.8
134,964,408,0.2727272727272727,1.9191919191919191
135,952,401,-0.3478260869565215,2.7
136,956,415,-0.0862068965517242,1.2121212121212122
137,995,452,2.972972972972973,-2.037037037037037
138,1020,480,5.089285714285714,-4.672897196261682
139,1014,473,4.553571428571429,-4.018691588785047
140,1003,468,3.6036036036036037,-3.518518518518518
141,1003,477,3.5714285714285716,-4.351851851851852
142,993,477,2.6785714285714284,-4.351851851851852
143,977,470,1.25,-3.6111111111111107
144,962,460,0,-2.685185185185185
145,956,453,-0.17391304347826164,-2.0183486238532113
146,956,449,-0.17391304347826164,-1.6513761467889907
147,960,443,0,-1.100917431192661
148,963,434,0.09090909090909091,-0.27777777777777857
149,974,427,1.0909090909090908,0
150,985,417,2.1818181818181817,1.0
151,990,398,2.727272727272727,2.8282828282828283
152,1002,382,3.909090909090909,4.444444444444445
153,1021,380,5.636363636363637,4.6
154,1035,381,6.909090909090909,4.444444444444445
155,1048,386,8.090909090909092,3.9
156,1042,386,7.545454545454546,3.9
157,1019,371,5.545454545454546,5.5
158,1001,357,3.944954128440367,6.96969696969697
159,1010,372,4.7272727272727275,5.4
160,1012,381,4.818181818181818,4.5
161,1002,376,3.944954128440367,5.05050505050505
162,999,375,3.669724770642202,5.151515151515151
163,999,375,3.669724770642202,5.151515151515151
164,995,372,3.3636363636363638,5.454545454545454
165,994,376,3.2110091743119265,5.05050505050505
166,985,377,2.3636363636363638,5.0
167,958,358,0,6.96969696969697
168,924,335,-2.4561403508771926,9.5
169,912,341,-3.5964912280701755,8.98989898989899
170,915,357,-3.391304347826087,7.373737373737374
171,908,360,-4.0,7.1
172,897,356,-4.956521739130435,7.575757575757576
173,893,354,-5.2631578947368425,7.8
174,898,361,-4.869565217391305,7.070707070707071
175,901,369,-4.649122807017544,6.2
176,897,371,-5.0,6.0606060606060606
177,894,375,-5.304347826086956,5.7
178,893,379,-5.391304347826087,5.3
179,894,382,-5.304347826086956,5.0
180,898,384,-4.956521739130435,4.747474747474747
181,905,385,-4.3478260869565215,4.6
182,916,389,-3.391304347826087,4.141414141414141
183,927,392,-2.5217391304347823,3.7373737373737375
184,938,394,-1.5652173913043477,3.5
185,951,399,-0.43478260869565233,2.9
186,963,404,0.2727272727272727,2.323232323232323
187,980,411,1.7272727272727273,1.6
188,992,417,2.8181818181818183,0.9090909090909091
189,1000,420,3.5454545454545454,0.6060606060606061
190,1007,426,4.090909090909091,0
191,1003,425,3.7837837837837838,0.10101010101010101
192,995,424,3.063063063063063,0.20202020202020202
193,986,424,2.2522522522522523,0.20202020202020202
194,975,422,1.2727272727272727,0.5050505050505051
195,963,417,0.18181818181818182,1.0101010101010102
196,958,416,0,1.1111111111111112
197,961,419,0,0.8080808080808081
198,965,421,0.36363636363636365,0.6060606060606061
199,966,416,0.45454545454545453,1.1111111111111112
200,968,410,0.6363636363636364,1.7171717171717171
201,971,404,1.0,2.323232323232323
202,971,393,1.0,3.4343434343434343
203,970,380,1.0,4.747474747474747
204,970,365,1.0909090909090908,6.262626262626263
205,953,339,0,8.9
206,936,317,-1.327433628318584,10.851063829787234
207,957,349,0,7.878787878787879
208,961,379,0.18181818181818182,4.848484848484849
209,961,379,0.18181818181818182,4.848484848484849
210,842,287,-9.557522123893806,14.631578947368421
211,848,309,-9.035087719298245,12.23404255319149
212,875,348,-6.842105263157895,8.5
213,893,368,-5.350877192982456,6.4
214,900,372,-4.7368421052631575,5.9
215,906,376,-4.260869565217392,5.5
216,924,390,-2.719298245614035,4.0
217,943,406,-1.1304347826086953,2.2222222222222223
218,955,420,-0.17391304347826164,0.7070707070707071
219,962,429,0,0
220,962,430,0,0
221,961,430,0,0
222,970,434,0.7272727272727273,-0.27777777777777857
223,979,440,1.5315315315315314,-0.8333333333333339
224,982,435,1.8181818181818181,-0.37037037037037024
225,979,427,1.5454545454545454,0
226,977,416,1.4545454545454546,1.1
227,962,397,0.18181818181818182,3.0303030303030303
228,955,378,0,4.94949494949495
229,972,392,1.0909090909090908,3.5353535353535355
230,996,413,3.1818181818181817,1.3131313131313131
231,997,404,3.3636363636363638,2.2222222222222223
232,993,389,3.090909090909091,3.7373737373737375
233,1013,402,4.818181818181818,2.4
234,1036,419,6.818181818181818,0.6060606060606061
235,1037,417,6.909090909090909,0.8080808080808081
236,1023,408,5.636363636363637,1.8
237,1019,414,5.2727272727272725,1.2
238,1020,425,5.315315315315315,0.1
239,1013,428,4.636363636363637,0
240,1008,429,4.181818181818182,0
241,1008,438,4.181818181818182,-0.7476635514018692
242,1005,441,3.873873873873874,-1.018518518518519
243,994,435,2.909090909090909,-0.4629629629629637
244,981,427,1.7272727272727273,0
245,971,420,0.9090909090909091,0.7070707070707071
246,961,414,0,1.3131313131313131
247,950,401,-0.5217391304347831,2.727272727272727
248,950,405,-0.5217391304347831,2.323232323232323
249,959,420,0,0.7070707070707071
250,961,430,0,0
251,952,425,-0.43478260869565233,0.3
252,935,419,-1.9130434782608692,1.0
253,919,412,-3.275862068965517,1.8
254,914,417,-3.7391304347826084,1.3131313131313131
255,918,427,-3.4482758620689653,0.3
256,914,431,-3.793103448275862,0
257,906,431,-4.482758620689655,0
258,903,438,-4.741379310344827,-0.28037383177570163
259,904,446,-4.695652173913044,-1.0280373831775709
260,905,451,-4.608695652173913,-1.4953271028037385
261,909,457,-4.260869565217392,-2.05607476635514
262,912,451,-4.0,-1.5740740740740744
263,911,440,-4.051724137931035,-0.4672897196261676
264,916,432,-3.6206896551724137,0
265,933,436,-2.155172413793103,-0.27777777777777857
266,956,451,-0.17391304347826164,-1.8348623853211006
267,965,448,0.2702702702702703,-1.5740740740740744
268,976,444,1.2612612612612613,-1.2037037037037042
269,1003,463,3.6036036036036037,-3.0555555555555554
270,1021,464,5.225225225225225,-3.177570093457944
271,1022,452,5.405405405405405,-2.05607476635514
272,1037,461,6.666666666666667,-2.990654205607477
273,1044,460,7.297297297297297,-2.897196261682243
274,1036,449,6.666666666666667,-1.8691588785046722
275,1034,446,6.486486486486487,-1.5740740740740744
276,1028,442,5.945945945945946,-1.121495327102803
277,1012,431,4.545454545454546,-0.09345794392523388
278,992,422,2.8181818181818183,0.40404040404040403
279,974,414,1.1818181818181819,1.3131313131313131
280,959,406,0,2.121212121212121
281,946,397,-0.8695652173913047,3.1313131313131315
282,939,397,-1.4782608695652169,3.2
283,939,400,-1.4782608695652169,2.9
284,939,406,-1.4782608695652169,2.3
285,943,421,-1.2173913043478262,0.7070707070707071
286,946,438,-1.0344827586206904,-0.5555555555555554
287,935,446,-2.0,-1.2037037037037042
288,919,444,-3.391304347826087,-0.934579439252337
289,933,474,-2.2608695652173916,-3.7962962962962967
290,951,517,-0.7826086956521738,-7.87037037037037
291,938,513,-1.9130434782608692,-7.407407407407407
292,917,498,-3.6842105263157894,-5.981308411214953
293,905,489,-4.695652173913044,-5.046728971962617
294,903,481,-4.869565217391305,-4.299065420560748
295,905,474,-4.695652173913044,-3.6448598130841123
296,901,459,-5.0,-2.2429906542056077
297,897,441,-5.258620689655173,-0.5607476635514015
298,898,428,-5.172413793103448,0.30303030303030304
299,906,418,-4.434782608695652,1.3
300,914,402,-3.6521739130434785,2.8282828282828283
301,925,385,-2.608695652173913,4.5
302,949,383,-0.5217391304347831,4.545454545454546
303,987,405,2.4545454545454546,2.121212121212121
304,1034,433,6.545454545454546,-0.37037037037037024
305,1056,452,8.468468468468469,-2.149532710280374
306,1073,472,9.821428571428571,-4.056603773584905
307,1089,485,10.87719298245614,-5.327102803738318
308,1076,487,10,-5.471698113207547
309,1066,484,9.196428571428571,-5.188679245283019
310,1071,491,9.557522123893806,-5.849056603773585
311,1072,495,9.646017699115044,-6.226415094339623
312,1058,484,8.482142857142858,-5.140186915887851
313,1028,463,5.8558558558558556,-3.08411214953271
314,1003,451,3.6936936936936937,-1.9444444444444446
315,985,450,2.0720720720720722,-1.7757009345794401
316,971,447,0.8108108108108109,-1.481481481481481
317,961,441,0,-0.9174311926605512
318,958,436,0,-0.4587155963302756
319,956,430,-0.1724137931034484,0
320,956,423,-0.08695652173913082,0.40404040404040403
321,952,421,-0.43478260869565233,0.7
322,943,424,-1.2173913043478262,0.40404040404040403
323,920,419,-3.217391304347826,1.1
324,916,416,-3.5344827586206895,1.4141414141414141
325,971,476,0.7142857142857143,-4.166666666666667
326,1026,546,5.391304347826087,-10.458715596330276
327,1003,513,3.4513274336283186,-7.685185185185185
328,963,460,0,-2.685185185185185
329,955,448,-0.2608695652173907,-1.5596330275229366
330,960,446,0,-1.376146788990825
331,961,431,0,0
332,965,415,0.36363636363636365,1.2121212121212122
333,966,403,0.5454545454545454,2.4242424242424243
334,967,388,0.7272727272727273,3.9393939393939394
335,970,376,1.0091743119266054,5.151515151515151
336,971,365,1.1818181818181819,6.262626262626263
